True_Label,OOF_Probability,OOF_Predicted
0,0.09887852291992766,0
1,0.604547193472052,1
1,0.9344675359627863,1
1,0.7324392611875101,1
0,0.2376426413852468,0
0,0.02790144130339638,0
1,0.9088686022311183,1
1,0.8263151129796016,1
0,0.9015772831346172,1
1,0.6886098626242391,1
0,0.08880060152385626,0
0,0.5021515074683146,1
0,0.13352061504446883,0
0,0.22412860637446486,0
1,0.7747020004731859,1
1,0.9053514425692869,1
0,0.1370123462654374,0
1,0.8226120680776146,1
1,0.7504406292140204,1
0,0.15461845462831014,0
1,0.5892918337837825,1
0,0.02073257559104845,0
0,0.17750431592498905,0
1,0.6441927694729223,1
1,0.8502750264588108,1
1,0.7965813376648391,1
1,0.47936060975924577,0
0,0.046039906321451246,0
1,0.9053751030166173,1
1,0.709869530361613,1
1,0.6332203126616004,1
1,0.5782435220196931,1
1,0.3890485411051267,0
0,0.7071882663406561,1
1,0.7213057058268681,1
1,0.8882577966559613,1
0,0.21056947231240153,0
1,0.8488465380814812,1
0,0.021739643378241517,0
1,0.8622773175897395,1
0,0.20561645505901371,0
0,0.1209446899199998,0
1,0.8331376705486495,1
0,0.0993834482161511,0
1,0.9496316169622685,1
1,0.8842379565142842,1
0,0.09654668431657726,0
0,0.027913089704503995,0
0,0.6516247464007615,1
1,0.7889587469751913,1
0,0.30965525477835326,0
0,0.17244697864324326,0
1,0.8181864032159509,1
0,0.10033075174607035,0
0,0.7347514898749027,1
0,0.07108543381566476,0
1,0.8239973404948044,1
0,0.10815795651745463,0
0,0.09789629935090906,0
1,0.7731274500819814,1
1,0.9123449417864498,1
0,0.22830127419114393,0
0,0.04601654710686986,0
0,0.8142853458368619,1
1,0.9252291194825389,1
0,0.15969551601778742,0
1,0.7354587858529368,1
0,0.26727215239380014,0
1,0.8165147487071811,1
1,0.4689519256086216,0
0,0.043331857913972774,0
1,0.6107230224700066,1
1,0.6431614932722838,1
1,0.8228944187939483,1
1,0.771022549645185,1
0,0.09857979669754843,0
0,0.23369725534962307,0
0,0.09441682598453267,0
1,0.8922637878424972,1
0,0.07034267989326262,0
0,0.14963712018564718,0
0,0.14951453660258476,0
1,0.5653392477060184,1
1,0.8325624759184311,1
0,0.044738381063181135,0
1,0.937010562804746,1
1,0.6363785325509113,1
1,0.5469143834159641,1
1,0.8911822340099553,1
0,0.08811394432087685,0
0,0.08324395050866093,0
1,0.8889540413567792,1
1,0.8774824383273154,1
1,0.9126338741126054,1
1,0.6890149705693395,1
1,0.7664794003135594,1
0,0.1869103120484429,0
0,0.03362449202523326,0
1,0.4852313688231065,0
1,0.6972336495063669,1
0,0.20097506276888696,0
1,0.1597603096003236,0
0,0.21970752106105657,0
0,0.1498788504239825,0
0,0.054101366738603905,0
1,0.4962618068070172,0
1,0.8882150937678789,1
0,0.03394329986750698,0
1,0.8894297054124405,1
0,0.3835718199225453,0
1,0.7055737920889091,1
1,0.8416697914092729,1
1,0.8495310968086306,1
0,0.27569188304470904,0
1,0.8306637264821601,1
1,0.7953330543633039,1
1,0.8687971874463842,1
0,0.7466032093592703,1
1,0.7879118548482016,1
1,0.8432750851525959,1
1,0.8856239272861087,1
1,0.85027378958777,1
0,0.26717351182941595,0
0,0.0905933936044994,0
0,0.04876293022319944,0
0,0.09052927755699022,0
1,0.8865215823687544,1
1,0.8781329520533911,1
0,0.02115297633974398,0
1,0.8548476906967467,1
1,0.766430535011939,1
1,0.9597881719554358,1
0,0.047374273985256114,0
0,0.66029234485349,1
0,0.10816583688171823,0
0,0.380333376444944,0
0,0.14252931198946903,0
1,0.7979314478235828,1
1,0.6297913275375255,1
0,0.8704180557033911,1
0,0.6000180701988393,1
0,0.7366024393373636,1
0,0.1263997864298151,0
0,0.030018734782246616,0
0,0.02397019976345846,0
1,0.8494068133696423,1
1,0.708163018887334,1
1,0.7690548197411503,1
1,0.8272685230716537,1
0,0.7051342093509284,1
0,0.07472321862360654,0
0,0.019749104639282155,0
0,0.05306074510183872,0
0,0.18337939371056317,0
1,0.7102224338382432,1
0,0.7586381709123191,1
1,0.7304733658283821,1
1,0.8374006300035783,1
1,0.9260799108612833,1
1,0.8979683107691416,1
1,0.6484957739718049,1
1,0.9034358508240484,1
1,0.7727981012619337,1
1,0.8012693744972325,1
